filename,start_sec,duration_sec,role,character,text,gap_after_sec
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-025-DL.mp3,255.806,4.224,DL,孔子,「君子は和して同ぜず、小人は同じて和せず」,0.684
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-026-NA.mp3,260.714,13.512,NA,NA,これは単なる同調ではありません。それぞれの個性を認めながら、全体として調和する。オーケストラのように、異なる楽器が美しいハーモニーを奏でる。,0.630
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-027-NA.mp3,274.856,16.944,NA,NA,しかし、この「和」の思想も、硬直化すると問題を生む可能性があります。出る杭は打たれる。目立つことは悪。そんな圧力が、創造性や革新を阻むこともあるかもしれません。,0.670
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-028-NA.mp3,292.470,16.512,NA,NA,興味深いことに、アキレウスの物語と儒教の「和」は、同じ問いに対する異なる視点を提供しているようです。個人の卓越か、集団の調和か。西と東で、それぞれの解が生まれました。,0.682
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-029-NA.mp3,309.664,8.856,NA,NA,19世紀、フランスの思想家アレクシ・ド・トクヴィルは、アメリカの民主主義を観察して驚きました。,0.538
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-030-NA.mp3,319.058,13.416,NA,NA,平等を重んじる社会では、突出した個人が生まれにくい。みんなが「普通」であることを求め、求められる。彼はこれを「多数の専制」と呼びました。,0.622
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-031-NA.mp3,333.096,9.552,NA,NA,20世紀初頭、フランスの農業技師マクシミリアン・リンゲルマンは、綱引きの実験で奇妙な現象を発見します。,0.554
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-032-NA.mp3,343.202,13.680,NA,NA,1人で引く力を100とすると、2人なら200になるはずです。しかし実際は約93%、8人では約49%の力しか出ませんでした。,0.594
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-033-NA.mp3,357.476,8.736,NA,NA,人数が増えるほど、一人当たりの貢献は減る。これが「社会的手抜き」と呼ばれる現象です。,0.518
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-034-NA.mp3,366.730,7.776,NA,NA,つまり、エース社員がいるチームでは、他のメンバーが無意識に手を抜いてしまう可能性があるのです。,0.538
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-035-NA.mp3,375.044,6.552,NA,NA,21世紀の組織心理学は、この問題をさらに深く分析しています。,0.470
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-036-NA.mp3,382.066,14.256,NA,NA,360度評価を導入した企業のデータが示す興味深い傾向。「仕事の能力」と「一緒に働きたい度」は、しばしば反比例する傾向が見られます。,0.610
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-037-NA.mp3,396.932,9.696,NA,NA,能力評価で上位の社員の中に、「チームワーク」の項目で低評価を受ける傾向があるという研究報告があります。,0.554
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-038-NA.mp3,407.182,15.384,NA,NA,脳科学的に見ると、優秀な人を見た時、私たちの脳では2つの反応が同時に起きます。尊敬を司る部位と、脅威を感じる扁桃体が、両方とも活性化するのです。,0.638
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-039-NA.mp3,423.204,12.552,NA,NA,憧れと恐れ、尊敬と嫉妬。相反する感情が同時に湧き上がる。これが、エース社員が孤立する生物学的メカニズムかもしれません。,0.586
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-040-NA.mp3,436.342,3.216,NA,NA,では、どうすればいいのでしょうか。,0.418
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-041-NA.mp3,439.976,10.920,NA,NA,アキレウスの物語が教えてくれるのは、英雄も人間だということ。強さの裏には弱さがあり、栄光の陰には孤独がある。,0.566
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-042-NA.mp3,451.462,11.880,NA,NA,孔子の「和して同ぜず」は、違いを認め合いながら協力する道を示します。エースの能力を妬むのではなく、チーム全体の力に変える。,0.594
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-043-NA.mp3,463.936,10.896,NA,NA,トクヴィルの警告は、平等の名の下に卓越を否定してはいけないということ。多様性には、能力の多様性も含まれます。,0.566
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-044-NA.mp3,475.398,12.624,NA,NA,そして現代の研究が示すのは、「できる人」と「できない人」という二分法を超えること。誰もが何かのエースになれる環境を作ることです。,0.606
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-045-NA.mp3,488.628,5.736,NA,NA,次の月曜日。山田が新しい試みを始めました。,0.434
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-046-DL.mp3,494.798,6.816,DL,山田,「今月の案件、みんなで分担してやってみない？僕の経験も共有するから」,1.036
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-047-NA.mp3,502.650,8.112,NA,NA,売上トップの座を守ることより、チーム全体を引き上げること。英雄から、メンターへ。,0.510
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-048-NA.mp3,511.272,11.136,NA,NA,驚いたことに、チーム全体の売上は20%上がりました。そして金曜日の夜、初めて山田も飲み会に誘われました。,0.558
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-049-DL.mp3,522.966,3.552,DL,同僚B,「山田さん、今日は絶対来てくださいね！」,0.680
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-050-NA.mp3,527.198,10.992,NA,NA,アキレウスとは違う形の英雄。それは、個人の栄光を手放すことで、より大きな物語の一部になることかもしれません。,0.566
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-051-NA.mp3,538.756,4.128,NA,NA,夜空を見上げると、オリオン座が輝いています。,0.438
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-052-NA.mp3,543.322,13.080,NA,NA,オリオンは、ギリシャ神話の狩人。その強さゆえに神々に疎まれ、最後は星座になりました。永遠に輝き続ける、孤独な英雄。,0.578
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-053-NA.mp3,556.980,10.152,NA,NA,でも、よく見てください。オリオンの周りには、おおいぬ座、こいぬ座、ふたご座——たくさんの星座が寄り添っています。,0.574
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-054-NA.mp3,567.706,9.288,NA,NA,英雄は独りじゃない。ただ、その距離感を見つけるのに、人類は3000年かかっているだけかもしれません。,0.550
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-055-NA.mp3,577.544,12.840,NA,NA,知識の星座は、見る人によって違う物語を紡ぎます。でも確かに言えるのは、どんなに明るい星も、他の星があってこそ星座になるということ。,0.610
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-056-NA.mp3,590.994,4.944,NA,NA,明日の職場で、あなたはどんな星座の一部になりますか？,0.754
/Users/hiroshikodera/repos/_active/tools/davinciauto/projects/OrionEp6/サウンド類/Narration/OrionEp6-057-NA.mp3,596.692,11.520,NA,NA,エースでいることも、チームでいることも、どちらも大切。その間で揺れ動きながら、私たちは新しい働き方を見つけていくのです。,0.590
